listing_age,host_age,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,listing_age.1,mean_PriceRange_0.5,restaurants_cnt_0.5,mean_review_cnt_0.5,mean_starts_avg_0.5,mean_PriceRange_1,restaurants_cnt_1,mean_review_cnt_1,mean_starts_avg_1,mean_PriceRange_1.5,restaurants_cnt_1.5,mean_review_cnt_1.5,mean_starts_avg_1.5,mean_PriceRange_2,restaurants_cnt_2,mean_review_cnt_2,mean_starts_avg_2,mean_PriceRange_2.5,restaurants_cnt_2.5,mean_review_cnt_2.5,mean_starts_avg_2.5,mean_PriceRange_3,restaurants_cnt_3,mean_review_cnt_3,mean_starts_avg_3
9.361643836,9.882191781,1,98,99,1,7,1,District 19,house,2,1.5,1,1,142,2,60,43,364,72,4.97,4.98,4.99,4.99,4.98,4.75,4.94,0,9.361643836,1.448598131,107,136.5233645,3.933444349,1.289634146,328,113.0365854,3.856688304,1.404176904,814,165.0638821,3.702845629,1.408386509,1097,158.4175023,3.689512224,1.400147384,1357,155.173913,3.7252445,1.387690355,1576,148.8439086,3.738758701
9.232876712,10.00547945,1,100,62,1,1,1,District 6,private room,1,1,1,1,28,30,365,200,49,2,4.85,4.85,4.83,4.77,4.85,4.7,4.77,0,9.232876712,0,0,0,0,1.125,24,77.70833333,4.091252293,1.326530612,49,166.7346939,4.089587836,1.333333333,228,106.9517544,3.692268147,1.342857143,420,120.2428571,3.771693117,1.31827112,509,114.4047151,3.75817834
9.263013699,9.350684932,1,100,97,1,1,1,District 19,other,3,1,1,2,129,2,14,283,404,25,4.87,4.89,4.89,4.96,4.92,4.87,4.88,0,9.263013699,1.6,35,124,3.992025889,1.530241935,496,175.3266129,3.626943712,1.448473282,1048,166.4284351,3.677161827,1.426540284,1266,157.8988942,3.686534349,1.428775948,1397,156.1317108,3.713639339,1.41856177,1627,148.4609711,3.718079017
9.202739726,9.290410959,24,100,25,1,1,1,District 7,house,2,1,1,1,89,2,21,39,560,0,4.96,4.98,4.98,4.97,4.98,4.83,4.95,0,9.202739726,0,0,0,0,1.583333333,48,128.9375,3.297565107,1.47826087,138,109.1666667,3.400247457,1.426829268,164,101.6219512,3.434381072,1.399014778,203,92.60591133,3.462942354,1.296992481,266,100.8609023,3.549346945
9.098630137,9.712328767,1,100,99,0,5,1,District 21,house,10,2,3,3,332,2,1125,232,62,4,4.68,4.8,4.84,4.9,4.93,4.02,4.63,1,9.098630137,1.230769231,13,126.6153846,3.567095517,1.362637363,91,157.9340659,3.623375557,1.333333333,192,117.375,3.820760747,1.282655246,467,104.875803,3.736956272,1.397930386,1063,152.0225776,3.665171002,1.384729429,1349,152.636768,3.723588841
8.77260274,8.884931507,1,100,100,1,13,1,District 19,house,6,1,1,4,155,1,90,334,278,5,4.71,4.78,4.76,4.91,4.92,4.72,4.66,1,8.77260274,1.421052632,76,149.6578947,4.050764191,1.320512821,390,121.1923077,3.77823091,1.372928177,724,156.8674033,3.744274034,1.393721973,1115,165.1838565,3.772159261,1.38404176,1341,153.6316182,3.750276315,1.382296344,1559,148.9288005,3.737381881
8.717808219,9.778082192,1,100,99,1,1,1,District 6,private room,3,1,1,1,95,2,5,143,499,61,4.98,4.98,4.99,5,4.98,4.93,4.96,0,8.717808219,1.727272727,11,239.4545455,4.286698607,1.357615894,151,137.4701987,4.103534706,1.276150628,239,147.9874477,4.040004613,1.271812081,298,131.6073826,3.969462499,1.354651163,516,155.4786822,3.844370636,1.309145129,1006,136.1262425,3.830104524
8.698630137,8.750684932,1,100,100,1,1,1,District 7,private room,4,1,2,4,109,3,28,15,219,18,4.94,4.94,4.93,4.98,5,4.91,4.94,0,8.698630137,1.625,8,43.375,3.395461195,1.581395349,86,130.1860465,3.165844556,1.476190476,126,115.2380952,3.40215385,1.422077922,154,103.2662338,3.415400716,1.407035176,199,93.46733668,3.463357969,1.308300395,253,104.6324111,3.589330996
4.712328767,8.717808219,3,100,0,1,1,1,District 7,private room,4,1,2,2,79,2,30,23,81,0,4.95,4.96,4.98,5,4.99,4.91,4.91,0,4.712328767,1.1,10,43.5,4.048956107,1.041666667,24,38.58333333,3.838646399,1.161290323,62,72.91935484,3.825362752,1.378151261,119,92.85714286,3.562575938,1.345794393,214,89.78037383,3.391385546,1.275362319,276,89.6884058,3.511566674
8.435616438,8.632876712,3,100,80,1,1,1,District 17,private room,3,1,2,2,85,2,10,0,407,28,4.99,4.98,5,4.99,4.99,4.99,4.98,0,8.435616438,1.619047619,42,274.952381,3.99189012,1.545454545,132,172.5151515,3.655947036,1.515151515,264,163.3787879,3.678112162,1.525667351,487,128.3634497,3.656616126,1.497482377,993,141.5317221,3.644675993,1.451090781,1421,149.6206897,3.662760763
